class_name,review_count,avg_rating,recommend_rate,negative_rate,avg_positive_feedback
Dresses,6145,4.138812042310822,0.8052074857607812,0.11082180634662327,3.1749389747762407
Knits,4626,4.14569822741029,0.8123648940769563,0.10765239948119326,2.5071335927367056
Blouses,2983,4.142809252430439,0.8065705665437479,0.11498491451558833,2.82936640965471
Sweaters,1380,4.168840579710145,0.7971014492753623,0.10942028985507246,2.285507246376812
Pants,1350,4.261481481481481,0.8325925925925926,0.09037037037037036,2.4644444444444447
Jeans,1104,4.3478260869565215,0.8795289855072463,0.0769927536231884,1.8278985507246377
Fine gauge,1059,4.237960339943343,0.8328611898016998,0.09820585457979225,2.0915958451369216
Skirts,903,4.229235880398671,0.8416389811738649,0.09413067552602436,2.399778516057586
Jackets,683,4.288433382137628,0.8433382137628112,0.1054172767203514,2.9136163982430454
Lounge,669,4.301943198804185,0.8579970104633782,0.0687593423019432,2.397608370702541
Swim,332,4.171686746987952,0.7951807228915663,0.1144578313253012,2.2590361445783134
Outerwear,319,4.181818181818182,0.8119122257053292,0.11285266457680251,2.90282131661442
Shorts,304,4.253289473684211,0.8388157894736842,0.08223684210526316,1.7467105263157894
Sleep,214,4.294392523364486,0.8551401869158879,0.10747663551401869,1.8644859813084111
Legwear,158,4.246835443037975,0.8544303797468354,0.10126582278481013,1.3291139240506329
Intimates,147,4.27891156462585,0.8571428571428571,0.09523809523809523,0.8163265306122449
Layering,132,4.348484848484849,0.8787878787878788,0.07575757575757576,1.4545454545454546
Trend,118,3.8389830508474576,0.7457627118644068,0.17796610169491525,3.3983050847457625
Unknown,13,5.0,1.0,0.0,0.5384615384615384
Casual bottoms,1,4.0,1.0,0.0,0.0
Chemises,1,4.0,1.0,0.0,0.0
